Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-4.lille.grid5000.fr, AS_chimint_link_4_DOWN, 5450
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-14.lille.grid5000.fr, AS_chimint_link_14_DOWN, 5451
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-6.lille.grid5000.fr, AS_chimint_link_6_DOWN, 5453
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-1.lille.grid5000.fr, AS_chimint_link_1_UP, 5455
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-8.lille.grid5000.fr, AS_chimint_link_8_DOWN, 5458
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-2.lille.grid5000.fr, AS_chimint_link_2_UP, 5459
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-11.lille.grid5000.fr, AS_chimint_link_11_UP, 5461
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-18.lille.grid5000.fr, AS_chimint_link_18_DOWN, 5462
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-3.lille.grid5000.fr, AS_chimint_link_3_UP, 5463
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-4.lille.grid5000.fr, AS_chimint_link_4_UP, 5464
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-5.lille.grid5000.fr, AS_chimint_link_5_UP, 5465
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-6.lille.grid5000.fr, AS_chimint_link_6_UP, 5467
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-15.lille.grid5000.fr, AS_chimint_link_15_UP, 5468
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-7.lille.grid5000.fr, AS_chimint_link_7_UP, 5469
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-8.lille.grid5000.fr, AS_chimint_link_8_UP, 5472
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-9.lille.grid5000.fr, AS_chimint_link_9_UP, 5473
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-19.lille.grid5000.fr, AS_chimint_link_19_UP, 5476
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-20.lille.grid5000.fr, AS_chimint_link_20_DOWN, 5478
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-13.lille.grid5000.fr, AS_chimint_link_13_DOWN, 5479
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-17.lille.grid5000.fr, AS_chimint_link_17_DOWN, 5483
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-12.lille.grid5000.fr, AS_chimint_link_12_UP, 5486
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-16.lille.grid5000.fr, AS_chimint_link_16_UP, 5487
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-1.lille.grid5000.fr, AS_chimint_link_1_DOWN, 5492
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-3.lille.grid5000.fr, AS_chimint_link_3_DOWN, 5494
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-12.lille.grid5000.fr, AS_chimint_link_12_DOWN, 5495
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-5.lille.grid5000.fr, AS_chimint_link_5_DOWN, 5497
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-7.lille.grid5000.fr, AS_chimint_link_7_DOWN, 5500
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-16.lille.grid5000.fr, AS_chimint_link_16_DOWN, 5501
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-20.lille.grid5000.fr, AS_chimint_link_20_UP, 5504
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-9.lille.grid5000.fr, AS_chimint_link_9_DOWN, 5505
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-13.lille.grid5000.fr, AS_chimint_link_13_UP, 5507
Link, AS_chimint, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-17.lille.grid5000.fr, AS_chimint_link_17_UP, 5509
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_16_DOWN, AS_chimint_backbone, 5432
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_1_DOWN, AS_chimint_backbone, 5434
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_13_UP, AS_chimint_backbone, 5435
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_5_DOWN, AS_chimint_backbone, 5438
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_17_UP, AS_chimint_backbone, 5439
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_9_DOWN, AS_chimint_backbone, 5440
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_2_UP, AS_chimint_backbone, 5443
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_6_UP, AS_chimint_backbone, 5444
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_13_DOWN, AS_chimint_backbone, 5445
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_17_DOWN, AS_chimint_backbone, 5448
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_12_UP, AS_chimint_backbone, 5452
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_2_DOWN, AS_chimint_backbone, 5454
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_16_UP, AS_chimint_backbone, 5456
