State, graphene-8.nancy.grid5000.fr, MAP-EXECUTION, 21.071878, 123.511293, 102.439415, 0.000000, END
State, graphene-8.nancy.grid5000.fr, REDUCE-EXECUTION, 46.764010, 61.840569, 15.076559, 0.000000, BEGIN
State, graphene-8.nancy.grid5000.fr, REDUCE-EXECUTION, 61.840569, 91.664660, 29.824091, 0.000000, BEGIN
State, graphene-8.nancy.grid5000.fr, REDUCE-EXECUTION, 91.664660, 106.741219, 15.076559, 0.000000, END
State, graphene-8.nancy.grid5000.fr, REDUCE-EXECUTION, 106.741219, 123.511293, 16.770074, 0.000000, END
State, graphene-7.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.070254, 15.070254, 0.000000, 0.000000, BEGIN
State, graphene-7.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.070254, 123.511293, 108.441039, 0.000000, END
State, graphene-7.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.214665, 46.633587, 1.418922, 0.000000, BEGIN
State, graphene-7.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 46.633587, 60.261501, 13.627914, 0.000000, END
State, graphene-7.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.261501, 61.731446, 1.469945, 0.000000, BEGIN
State, graphene-7.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 61.731446, 123.511293, 61.779847, 0.000000, END
State, graphene-7.nancy.grid5000.fr, MAP-EXECUTION, 15.070254, 21.067975, 5.997721, 0.000000, BEGIN
State, graphene-7.nancy.grid5000.fr, MAP-EXECUTION, 21.067975, 123.511293, 102.443318, 0.000000, END
State, graphene-7.nancy.grid5000.fr, REDUCE-EXECUTION, 46.633587, 61.731446, 15.097859, 0.000000, BEGIN
State, graphene-7.nancy.grid5000.fr, REDUCE-EXECUTION, 61.731446, 91.512936, 29.781490, 0.000000, BEGIN
State, graphene-7.nancy.grid5000.fr, REDUCE-EXECUTION, 91.512936, 106.610795, 15.097859, 0.000000, END
State, graphene-7.nancy.grid5000.fr, REDUCE-EXECUTION, 106.610795, 123.511293, 16.900498, 0.000000, END
State, graphene-6.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.066351, 15.066351, 0.000000, 0.000000, BEGIN
State, graphene-6.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.066351, 123.511293, 108.444942, 0.000000, END
State, graphene-6.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.210762, 46.542111, 1.331349, 0.000000, BEGIN
