State, 100041334, MAP-INPUT-FETCHING, 16.384287, 91.628345, 75.244058, 0.000000, END
State, 100041334, MAP-INPUT-FETCHING, 91.628345, 91.628345, 0.000000, 0.000000, BEGIN
State, 100041334, MAP-INPUT-FETCHING, 91.628345, 136.073364, 44.445019, 0.000000, END
State, 100041334, MAP-INPUT-FETCHING, 136.073364, 136.073364, 0.000000, 0.000000, BEGIN
State, 100041334, MAP-INPUT-FETCHING, 136.073364, 818.707375, 682.634011, 0.000000, END
State, 100041334, REDUCE-INPUT-FETCHING, 213.582200, 223.847387, 10.265187, 0.000000, BEGIN
State, 100041334, REDUCE-INPUT-FETCHING, 223.847387, 818.707375, 594.859988, 0.000000, END
State, 100041334, MAP-EXECUTION, 16.384287, 52.098572, 35.714285, 0.000000, BEGIN
State, 100041334, MAP-EXECUTION, 52.098572, 91.628345, 39.529773, 0.000000, END
State, 100041334, MAP-EXECUTION, 91.628345, 127.342631, 35.714286, 0.000000, BEGIN
State, 100041334, MAP-EXECUTION, 127.342631, 136.073364, 8.730733, 0.000000, END
State, 100041334, MAP-EXECUTION, 136.073364, 171.787650, 35.714286, 0.000000, BEGIN
State, 100041334, MAP-EXECUTION, 171.787650, 818.707375, 646.919725, 0.000000, END
State, 100041334, REDUCE-EXECUTION, 223.847387, 402.418815, 178.571428, 0.000000, BEGIN
State, 100041334, REDUCE-EXECUTION, 402.418815, 818.707375, 416.288560, 0.000000, END
State, 100036570, MAP-INPUT-FETCHING, 15.638774, 15.638774, 0.000000, 0.000000, BEGIN
State, 100036570, MAP-INPUT-FETCHING, 15.638774, 818.707375, 803.068601, 0.000000, END
State, 100036570, REDUCE-INPUT-FETCHING, 212.836687, 227.531379, 14.694692, 0.000000, BEGIN
State, 100036570, REDUCE-INPUT-FETCHING, 227.531379, 818.707375, 591.175996, 0.000000, END
State, 100036570, MAP-EXECUTION, 15.638774, 136.848560, 121.209786, 0.000000, BEGIN
State, 100036570, MAP-EXECUTION, 136.848560, 818.707375, 681.858815, 0.000000, END
State, 100036570, REDUCE-EXECUTION, 227.531379, 421.296681, 193.765302, 0.000000, BEGIN
State, 100036570, REDUCE-EXECUTION, 421.296681, 818.707375, 397.410694, 0.000000, END
State, 100178474, MAP-INPUT-FETCHING, 90.882832, 90.882832, 0.000000, 0.000000, BEGIN
State, 100178474, MAP-INPUT-FETCHING, 90.882832, 818.707375, 727.824543, 0.000000, END
State, 100178474, REDUCE-INPUT-FETCHING, 212.234341, 226.359296, 14.124955, 0.000000, BEGIN
State, 100178474, REDUCE-INPUT-FETCHING, 226.359296, 818.707375, 592.348079, 0.000000, END
State, 100178474, MAP-EXECUTION, 90.882832, 135.348560, 44.465728, 0.000000, BEGIN
State, 100178474, MAP-EXECUTION, 135.348560, 818.707375, 683.358815, 0.000000, END
State, 100178474, REDUCE-EXECUTION, 226.359296, 421.296681, 194.937385, 0.000000, BEGIN
State, 100178474, REDUCE-EXECUTION, 421.296681, 818.707375, 397.410694, 0.000000, END
State, 100152889, MAP-INPUT-FETCHING, 21.374968, 21.374968, 0.000000, 0.000000, BEGIN
State, 100152889, MAP-INPUT-FETCHING, 21.374968, 90.672987, 69.298019, 0.000000, END
State, 100152889, MAP-INPUT-FETCHING, 90.672987, 90.672987, 0.000000, 0.000000, BEGIN
State, 100152889, MAP-INPUT-FETCHING, 90.672987, 136.831181, 46.158194, 0.000000, END
State, 100152889, MAP-INPUT-FETCHING, 136.831181, 136.831181, 0.000000, 0.000000, BEGIN
State, 100152889, MAP-INPUT-FETCHING, 136.831181, 818.707375, 681.876194, 0.000000, END
State, 100152889, REDUCE-INPUT-FETCHING, 212.024496, 224.002604, 11.978108, 0.000000, BEGIN
State, 100152889, REDUCE-INPUT-FETCHING, 224.002604, 227.336845, 3.334241, 0.000000, END
State, 100152889, REDUCE-INPUT-FETCHING, 227.336845, 240.186470, 12.849625, 0.000000, BEGIN
State, 100152889, REDUCE-INPUT-FETCHING, 240.186470, 818.707375, 578.520905, 0.000000, END
State, 100152889, MAP-EXECUTION, 21.374968, 83.874968, 62.500000, 0.000000, BEGIN
